case,value_type,mode,P1_bar,P2_bar,P3_bar,phi,purge_p,r_CH4,h_H2_to_CFR,converged,iterations,method,S1_inlet_CH4_kmol_d,S1_inlet_CH4_ratio_vs_fresh,S1_X_CH4,S2_inlet_total_kmol_d,recycle_to_S2_total_kmol_d,S2_X_CO2_per_pass,S2_xi2_CH4_formed_kmol_d,S3_CH4_formed_kmol_d,S3_COx_conversion,C_stage1_tpd,C_stage3_tpd,C_total_tpd,C_from_CO2_total_tpd,fresh_CO2_carbon_fixed_fraction,C_from_CO2_total_tpd_mixing_tracer_upper,purge_carbon_tpd,purge_carbon_as_CO2_if_oxidised_tpd,H2_net_exportable_tpd,water_total_tpd,Q1_kW,Q2_kW,Q3_kW,Q_total_kW,closure_C_rel,closure_H_rel,closure_O_rel,W_S1out_to_S2_kW,n_st_S1out,W_freshCO2_kW,W_solarH2_kW,W_freshCH4_to_S1_kW,W_compression_total_kW,W_compression_excl_solarH2_kW,W_compression_share_of_5MW,pressure_order_n,variant,factor_meth_at_P2,factor_rwgs_at_P2,wall_s
"kin once-through (1,5,5) n=1.5 V2 phi=1",kinetic,kinetic,1.0,5.0,5.0,1.0,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.8360542138116118,410.0006319427217,3.481342961681321,0.006395417335328113,31.375772330793286,0.0,31.375772330793286,0.0,0.0,0.0,16.02334934931925,58.71048051904012,8.94223149688772,21.774564054955693,2728.6383640944473,-739.5587610237496,-8.584312378395929,1980.4952906923018,6.914014738533471e-16,1.382990713406279e-15,-2.3824971625193333e-16,406.89333739197235,2,67.51500202902557,90.94006166111424,0.0,565.3484010821121,474.4083394209979,0.11306968021642243,1.5,V2,0.003746391231252261,0.45016663581389504,0.5535926818847656
"kin recycle (1,5,5) n=1.5 V2 phi=1",kinetic,kinetic,1.0,5.0,5.0,1.0,0.05,0.95,0.35,True,428,direct,4283.76236134259,1.431758324229566,0.8730911863828242,16873.859709684653,6645.631939554892,0.5099406500916415,734.1449402774628,17.410593456643255,0.00427431710922388,44.922523213745,2.812828095444253e-20,44.922523213745,8.999807257070092,0.7851384595398617,9.69100460520261,2.4765980103869163,9.074398621190392,11.218864842367607,29.940119696950802,3906.7506916043712,-1535.9621818471937,-43.871601154029285,2326.9169086031484,-9.6200218269007e-09,2.1540658702873856e-10,-2.47768941971079e-08,582.572922884506,2,67.51500202902557,90.94006166111424,0.0,741.0279865746459,650.0879249135317,0.14820559731492916,1.5,V2,0.003746391231252261,0.45016663581389504,198.56010818481445
"kin once-through (1,5,5) native V1 phi=0",kinetic,kinetic,1.0,5.0,5.0,0.0,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.8055242606889389,0.0,137.06783671666915,0.14362424823961395,31.375772330793286,0.0,31.375772330793286,0.0,0.0,0.0,16.02334934931923,58.710480519040054,10.42831590520829,18.24434588315267,2728.6383640944473,313.8140109366329,-293.3600666324912,2749.092308398589,3.4570073692667354e-16,1.8858964273721986e-15,3.5737457437790004e-16,406.89333739197235,2,67.51500202902557,90.94006166111424,0.0,565.3484010821121,474.4083394209979,0.11306968021642243,native,V1,1.0,1.0,0.557919979095459
"kin recycle (1,5,5) native V1 phi=0",kinetic,kinetic,1.0,5.0,5.0,0.0,0.05,0.95,0.35,True,314,direct,3570.344811533202,1.193313371071399,0.8730911863828241,26606.688490225944,17714.756844854983,0.27221969278640323,-1.1368683772161603e-13,126.79954363841568,0.01036504111054748,37.44112865002767,0.46226920286495554,37.90339785289263,1.9806818870638188,0.172793647822416,4.669698995885377,9.495722098349002,34.79287601583892,12.53726361267838,18.22039310912847,3256.1206446922924,333.3233236141148,-368.1179909648641,3221.3259773415434,-3.647474485956845e-08,-4.580276653158859e-11,-8.734300962254339e-08,485.5512601097068,2,67.51500202902557,90.94006166111424,0.0,644.0063237998465,553.0662621387323,0.1288012647599693,native,V1,1.0,1.0,146.333261013031
"kin once-through (1,5,5) native V1 phi=0.1",kinetic,kinetic,1.0,5.0,5.0,0.1,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.8438311519567141,565.1190403089155,67.55081535043598,0.17354933075496437,31.375772330793286,0.0,31.375772330793286,0.0,0.0,0.0,16.023349349319183,58.710480519039876,7.4740753465194345,26.87466726755206,2728.6383640944473,-1139.5587910162205,-142.89106718785692,1446.18850589037,-6.914014738533471e-16,-3.771792854744397e-16,3.5737457437790004e-16,406.89333739197235,2,67.51500202902557,90.94006166111424,0.0,565.3484010821121,474.4083394209979,0.11306968021642243,native,V1,1.0,1.0,0.5460610389709473
"kin recycle (1,5,5) native V1 phi=0.1",kinetic,kinetic,1.0,5.0,5.0,0.1,0.05,0.95,0.35,True,26,direct,4503.431494592018,1.5051781555779111,0.8730911863828243,13359.492515485434,2719.8044279458145,0.922007962796572,884.1196034692496,59.80519166103795,0.2228923609543333,47.22612712669593,0.0,47.22612712669593,11.303411172482603,0.9861036555573799,11.338944862015518,0.1729945617928353,0.6338620989044117,10.7426030061538,34.17043872476867,4107.086860106811,-1930.8952136467822,-126.63214996346491,2049.559496496564,1.767176073737565e-10,-2.5331323094534827e-10,2.7142634661458947e-10,612.4469630925898,2,67.51500202902557,90.94006166111424,0.0,770.9020267827296,679.9619651216154,0.15418040535654592,native,V1,1.0,1.0,11.818738222122192
"kin once-through (1,5,5) native V1 phi=1",kinetic,kinetic,1.0,5.0,5.0,1.0,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.843832462109307,564.9672681433785,67.56475772760427,0.17351749171404107,31.375772330793286,0.0,31.375772330793286,0.0,0.0,0.0,16.02334934931915,58.71048051903977,7.474883800373357,26.872393035459332,2728.6383640944473,-1139.163945093299,-142.92142552126512,1446.5529934798833,-1.2675693687311363e-15,-1.382990713406279e-15,-9.529988650077333e-16,406.89333739197235,2,67.51500202902557,90.94006166111424,0.0,565.3484010821121,474.4083394209979,0.11306968021642243,native,V1,1.0,1.0,0.6014320850372314
"kin recycle (1,5,5) native V1 phi=1",kinetic,kinetic,1.0,5.0,5.0,1.0,0.05,0.95,0.35,True,26,direct,4503.649537330212,1.5052510318205956,0.8730911863828246,13356.580701613944,2716.484200143164,0.9221792978601483,884.4368480067177,59.678892009118044,0.22574085858971116,47.228413675094686,0.0,47.228413675094686,11.305697720523984,0.9863031328079024,11.340580601186947,0.17070801505133842,0.6254840591453129,10.742203809883648,34.173992695774835,4107.285713018429,-1931.6937796852874,-126.3373338046503,2049.254599528492,2.116815494393623e-10,-2.2446693637154858e-10,2.9250417988653986e-10,612.4766159501918,2,67.51500202902557,90.94006166111424,0.0,770.9316796403316,679.9916179792174,0.15418633592806633,native,V1,1.0,1.0,11.860448122024536
"kin once-through (1,10,10) n=0.5 V1 phi=0",kinetic,kinetic,1.0,10.0,10.0,0.0,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.8055478031963215,0.0,31.972503898608863,0.033501855335089537,31.375772330793286,0.0,31.375772330793286,0.0,0.0,0.0,16.02334934931923,58.710480519040054,11.309067864042225,14.36473121867239,2728.6383640944473,313.82318256439,-80.97511229011712,2961.4864343687204,3.4570073692667354e-16,-7.543585709488794e-16,5.956242906298334e-16,578.9714769297437,3,96.18648434770743,129.38674217714924,0.0,804.5447034546004,675.1579612774511,0.16090894069092007,0.5,V1,3.355249002046492e-05,1.0,0.5375070571899414
"kin recycle (1,10,10) n=0.5 V1 phi=0",kinetic,kinetic,1.0,10.0,10.0,0.0,0.05,0.95,0.35,True,280,direct,3647.7281768994517,1.219177148791623,0.8730911863828243,24899.380967278383,15862.503222267256,0.29259054762535597,0.0,194.56591807256154,0.017568147843259774,38.252624651391635,0.6826995795602233,38.93532423095186,3.012608264416196,0.2628183631446816,5.407913152800831,8.46379586423932,31.0118384971533,12.353311359381586,19.85424982581409,3326.6935408201057,347.5551306946931,-581.9379305682995,3092.310740946499,-3.343777828986499e-08,2.0862025159805396e-10,-8.036756778507955e-08,705.8687944748796,3,96.18648434770743,129.38674217714924,0.0,931.4420209997362,802.055278822587,0.18628840419994724,0.5,V1,3.355249002046492e-05,1.0,132.05059909820557
"kin once-through (1,10,10) n=0.5 V1 phi=0.1",kinetic,kinetic,1.0,10.0,10.0,0.1,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.8053860953372975,6.3056288987843345,31.63865314394434,0.03337253601275558,31.375772330793286,0.0,31.375772330793286,0.0,0.0,0.0,16.023349349319187,58.71048051903989,11.273263351625639,14.469542029042623,2728.6383640944473,297.3768551091014,-80.12922637090153,2945.8859928326474,-5.761678948777892e-16,0.0,-1.1912485812596667e-15,578.9714769297437,3,96.18648434770743,129.38674217714924,0.0,804.5447034546004,675.1579612774511,0.16090894069092007,0.5,V1,3.355249002046492e-05,1.0,0.5875821113586426
"kin recycle (1,10,10) n=0.5 V1 phi=0.1",kinetic,kinetic,1.0,10.0,10.0,0.1,0.05,0.95,0.35,True,281,direct,3652.4793553585905,1.2207651312087056,0.873091186382824,24846.648452183643,15800.871316675766,0.2927409489482252,3.7449592054127834,194.98167391143016,0.017605572874488495,38.30244882617537,0.6706579494820011,38.97310677565737,3.050390808475044,0.266114492449735,5.434941834283383,8.426013291019679,30.87340095949422,12.346759571749113,19.912364072131112,3331.026570564867,337.85210861539207,-581.4262509274829,3087.4524282527764,-3.403935346040321e-08,2.2682568989647722e-10,-8.18348215151256e-08,706.7881910002372,3,96.18648434770743,129.38674217714924,0.0,932.3614175250939,802.9746753479446,0.18647228350501877,0.5,V1,3.355249002046492e-05,1.0,132.77753400802612
"kin once-through (1,10,10) n=0.5 V1 phi=1",kinetic,kinetic,1.0,10.0,10.0,1.0,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.8045419261916731,61.20367977007447,28.7939796401717,0.032238806833561284,31.375772330793286,0.0,31.375772330793286,0.0,0.0,0.0,16.023349349319222,58.71048051904002,10.960084270806886,15.392763954711295,2728.6383640944473,154.41148072017282,-72.92188612395675,2810.127958690663,2.3046715795111567e-16,-1.5087171418977588e-15,1.3103734393856334e-15,578.9714769297437,3,96.18648434770743,129.38674217714924,0.0,804.5447034546004,675.1579612774511,0.16090894069092007,0.5,V1,3.355249002046492e-05,1.0,0.5711328983306885
"kin recycle (1,10,10) n=0.5 V1 phi=1",kinetic,kinetic,1.0,10.0,10.0,1.0,0.05,0.95,0.35,True,296,direct,3699.1028510912183,1.2363480633345085,0.8730911863828238,24332.08736541052,15198.980170967483,0.29460255551601,40.37554902797581,199.18034015881767,0.017983970310274544,38.79137535680086,0.5505409096127762,39.34191626641364,3.419200296167474,0.2982892385036621,5.698778860906768,8.057203872327579,29.52206187805049,12.282459061082735,20.482710875898437,3373.5467569884186,243.012578393436,-576.4525281337455,3040.106807248109,-3.2518984089947596e-08,3.560064520107605e-10,-7.84067243747586e-08,715.810264228011,3,96.18648434770743,129.38674217714924,0.0,941.3834907528676,811.9967485757184,0.18827669815057352,0.5,V1,3.355249002046492e-05,1.0,139.71929597854614
"kin once-through (1,10,10) n=0.5 V2 phi=0",kinetic,kinetic,1.0,10.0,10.0,0.0,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.38202277056266054,0.0,0.9875334975068881,0.0010347705164703846,31.375772330793286,0.0,31.375772330793286,0.0,0.0,0.0,16.0233493493192,58.71048051903995,12.310562217022117,6.577531611551627,2728.6383640944473,148.82742053834667,-2.2676383810887515,2875.1981462517056,-2.3046715795111567e-16,-2.514528569829598e-16,2.3824971625193333e-16,578.9714769297437,3,96.18648434770743,129.38674217714924,0.0,804.5447034546004,675.1579612774511,0.16090894069092007,0.5,V2,3.355249002046492e-05,0.03225335662691753,0.547307014465332
"kin recycle (1,10,10) n=0.5 V2 phi=0",kinetic,kinetic,1.0,10.0,10.0,0.0,0.05,0.95,0.35,True,303,direct,3431.411152910595,1.146877690128014,0.8730911863828243,29909.151831763644,21277.45559785061,0.14493618240038575,-5.684341886080802e-14,5.132177336460359,0.0002702640913052612,35.98417329672263,0.0,35.98417329672263,0.0614573437695365,0.005361506400786446,3.296734055955736,11.41494631238013,41.82502474910808,13.082846750996568,13.366999560392198,3129.4144642073197,300.83205943919995,-13.00232537109375,3417.244198275426,-4.369299837144456e-08,2.6701778883020504e-12,-1.0684397880874031e-07,664.0094701111885,3,96.18648434770743,129.38674217714924,0.0,889.5826966360452,760.1959544588959,0.17791653932720902,0.5,V2,3.355249002046492e-05,0.03225335662691753,140.08325481414795
"kin once-through (1,10,10) n=0.5 V2 phi=0.1",kinetic,kinetic,1.0,10.0,10.0,0.1,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.40348494320133577,28.453447460279335,0.940625112713974,0.0010159070791136982,31.375772330793286,0.0,31.375772330793286,0.0,0.0,0.0,16.023349349319187,58.71048051903989,12.097534551373963,7.455530299094464,2728.6383640944473,83.26064795684391,-2.1636394119305082,2809.735372639361,-5.761678948777892e-16,-1.1315378564233193e-15,-1.1912485812596667e-15,578.9714769297437,3,96.18648434770743,129.38674217714924,0.0,804.5447034546004,675.1579612774511,0.16090894069092007,0.5,V2,3.355249002046492e-05,0.03225335662691753,0.5511159896850586
"kin recycle (1,10,10) n=0.5 V2 phi=0.1",kinetic,kinetic,1.0,10.0,10.0,0.1,0.05,0.95,0.35,True,306,direct,3437.751960382835,1.1489969729254546,0.8730911863828245,29812.433555147847,21168.860410644003,0.1459517153412795,5.566996011510128,5.117970667253587,0.0002711016387949572,36.05066743127975,0.0,36.05066743127975,0.12795147702178955,0.011162419671356687,3.3443022861372063,11.348452151498115,41.58138629050708,13.068825999929796,13.491672934355979,3135.1972205527863,286.92647210943153,-12.966261544816758,3409.157431117401,-4.424838619502568e-08,2.644491978961241e-11,-1.0835295292309867e-07,665.2364744024552,3,96.18648434770743,129.38674217714924,0.0,890.8097009273118,761.4229587501626,0.17816194018546236,0.5,V2,3.355249002046492e-05,0.03225335662691753,140.9853219985962
"kin once-through (1,10,10) n=0.5 V2 phi=1",kinetic,kinetic,1.0,10.0,10.0,1.0,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.5439533314675531,219.59418635552197,0.6559101187477836,0.0008926909954072304,31.375772330793286,0.0,31.375772330793286,0.0,0.0,0.0,16.0233493493192,58.71048051903994,10.673370019532317,13.29112348481552,2728.6383640944473,-358.63927256833006,-1.5277820709634709,2368.471309455154,-2.3046715795111567e-16,-2.514528569829598e-16,8.338740068817667e-16,578.9714769297437,3,96.18648434770743,129.38674217714924,0.0,804.5447034546004,675.1579612774511,0.16090894069092007,0.5,V2,3.355249002046492e-05,0.03225335662691753,0.5551309585571289
"kin recycle (1,10,10) n=0.5 V2 phi=1",kinetic,kinetic,1.0,10.0,10.0,1.0,0.05,0.95,0.35,True,342,direct,3499.5037653764466,1.1696362272486318,0.8730911863828243,28870.563286874574,20111.323380693968,0.15634491194123423,59.78481496967777,4.977612124370921,0.00027969249890802406,36.69823997600107,0.0,36.69823997600107,0.7755240114577585,0.06765630755189589,3.8075593850028815,10.700879726689633,39.208643401205904,12.9324553979422,14.70428125014369,3191.5142817053074,151.4622579604255,-12.609924774865044,3330.366614890868,-4.171853253042955e-08,2.4048385472922066e-10,-1.034745058700537e-07,677.1860139606736,3,96.18648434770743,129.38674217714924,0.0,902.7592404855302,773.372498308381,0.18055184809710603,0.5,V2,3.355249002046492e-05,0.03225335662691753,156.62053728103638
"kin once-through (1,10,10) n=1 V1 phi=0",kinetic,kinetic,1.0,10.0,10.0,0.0,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.8055478031963215,0.0,32.30545171855698,0.033850729159092374,31.375772330793286,0.0,31.375772330793286,0.0,0.0,0.0,16.023349349319222,58.71048051904003,11.306376714389604,14.376180652284049,2728.6383640944473,313.82318256439,-81.66982795537172,2960.791718703466,2.3046715795111567e-16,1.257264284914799e-16,1.0721237231337001e-15,578.9714769297437,3,96.18648434770743,129.38674217714924,0.0,804.5447034546004,675.1579612774511,0.16090894069092007,1.0,V1,0.00010540627106346914,1.0,0.64947509765625
"kin recycle (1,10,10) n=1 V1 phi=0",kinetic,kinetic,1.0,10.0,10.0,0.0,0.05,0.95,0.35,True,280,direct,3647.7670952858316,1.2191901564514707,0.8730911863828246,24898.714605868463,15861.76396317082,0.2925963282220191,0.0,194.59999978675597,0.017571069380301174,38.253032776765586,0.6826666951522544,38.93569947191784,3.0129835053611997,0.26285109896769443,5.408181590742952,8.463420621314405,31.010463585332253,12.353230324565015,19.85496711814448,3326.729034019794,347.5423734208029,-582.0023266072393,3092.2690808333577,-3.347910681296458e-08,2.0867192516016394e-10,-8.046793607691902e-08,705.8763255389126,3,96.18648434770743,129.38674217714924,0.0,931.4495520637693,802.06280988662,0.18628991041275386,1.0,V1,0.00010540627106346914,1.0,123.8688850402832
"kin once-through (1,10,10) n=1 V1 phi=0.1",kinetic,kinetic,1.0,10.0,10.0,0.1,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.8050870470767197,19.672014864477433,31.263193425228337,0.03344808123879295,31.375772330793286,0.0,31.375772330793286,0.0,0.0,0.0,16.023349349319176,58.71048051903985,11.194607093976483,14.703805267955625,2728.6383640944473,262.5317138450584,-79.03154803179353,2912.138529907712,-8.066350528289049e-16,8.800849994403594e-16,-4.764994325038667e-16,578.9714769297437,3,96.18648434770743,129.38674217714924,0.0,804.5447034546004,675.1579612774511,0.16090894069092007,1.0,V1,0.00010540627106346914,1.0,0.6783888339996338
"kin recycle (1,10,10) n=1 V1 phi=0.1",kinetic,kinetic,1.0,10.0,10.0,0.1,0.05,0.95,0.35,True,284,direct,3662.960311353247,1.2242681723966695,0.8730911863828242,24730.26911193879,15664.86019013246,0.29310294966794026,11.966765042897805,195.93827969436228,0.017691607884225302,38.41235944895428,0.6440351930531807,39.056394642007454,3.133678673910947,0.2733804820980507,5.494523877485962,8.342725422063506,30.568229381366486,12.332277276712453,20.040820433283347,3340.585103141346,316.5411574972986,-580.3714958187018,3076.7547648199425,-3.409433508840698e-08,2.5906094035026475e-10,-8.201694686484493e-08,708.8163519305776,3,96.18648434770743,129.38674217714924,0.0,934.3895784554343,805.002836278285,0.18687791569108686,1.0,V1,0.00010540627106346914,1.0,124.18807625770569
"kin once-through (1,10,10) n=1 V1 phi=1",kinetic,kinetic,1.0,10.0,10.0,1.0,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.806261562718838,178.22247212807713,23.38125311983174,0.030125520424176377,31.375772330793286,0.0,31.375772330793286,0.0,0.0,0.0,16.0233493493192,58.71048051903994,10.281261076110784,17.43686805532273,2728.6383640944473,-148.9576442345552,-59.08670602813968,2520.5940138317524,-2.3046715795111567e-16,-6.286321424573996e-16,-5.956242906298334e-16,578.9714769297437,3,96.18648434770743,129.38674217714924,0.0,804.5447034546004,675.1579612774511,0.16090894069092007,1.0,V1,0.00010540627106346914,1.0,0.6054840087890625
"kin recycle (1,10,10) n=1 V1 phi=1",kinetic,kinetic,1.0,10.0,10.0,1.0,0.05,0.95,0.35,True,152,wegstein,3852.4800487965204,1.2876111963092203,0.873091186382824,22663.46251411575,13243.06584245884,0.3059113081815832,160.93637972042768,212.9354120301614,0.019365610432446778,40.39979574597846,0.1406132136571839,40.54040895963564,4.617692985489827,0.4028451114225092,6.556150367157911,6.858712629953668,25.130720517161848,12.06915242384574,22.37491253230688,3513.425308286884,-68.29382665679367,-557.9952398792522,2887.1362417508385,-1.9098073579831933e-09,-7.457749762229091e-10,-3.810475426841247e-09,745.4901560384232,3,96.18648434770743,129.38674217714924,0.0,971.0633825632798,841.6766403861305,0.19421267651265595,1.0,V1,0.00010540627106346914,1.0,69.28907871246338
"kin once-through (1,10,10) n=1 V2 phi=0",kinetic,kinetic,1.0,10.0,10.0,0.0,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.7035442015768147,0.0,3.3124306808565507,0.0034708752817564914,31.375772330793286,0.0,31.375772330793286,0.0,0.0,0.0,16.023349349319204,58.710480519039955,11.677512957892036,12.134613093492419,2728.6383640944473,274.0848892362379,-8.074802033806554,2994.6484512968786,-2.3046715795111567e-16,0.0,1.1912485812596666e-16,578.9714769297437,3,96.18648434770743,129.38674217714924,0.0,804.5447034546004,675.1579612774511,0.16090894069092007,1.0,V2,0.00010540627106346914,0.101325,0.5736360549926758
"kin recycle (1,10,10) n=1 V2 phi=0",kinetic,kinetic,1.0,10.0,10.0,0.0,0.05,0.95,0.35,True,300,direct,3445.922845733161,1.1517279211270228,0.8730911863828246,29613.980201664563,20955.102243826077,0.23198522547626066,0.0,17.840397157884524,0.0009515876328548556,36.13635304029935,0.0,36.13635304029935,0.21363708794375755,0.018637587376882356,3.4055996140933114,11.26276640830352,41.26742876222043,12.892060779787553,15.069730241106125,3142.6489905859407,334.23879785731,-45.209070427155666,3431.6787180160954,-4.7079134554502586e-08,9.031935169970934e-12,-1.107488037439642e-07,666.8176155161362,3,96.18648434770743,129.38674217714924,0.0,892.3908420409929,763.0040998638436,0.17847816840819858,1.0,V2,0.00010540627106346914,0.101325,127.36261677742004
"kin once-through (1,10,10) n=1 V2 phi=0.1",kinetic,kinetic,1.0,10.0,10.0,0.1,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.7198320181120016,52.74029749886233,3.0606108229600864,0.003394606310870296,31.375772330793286,0.0,31.375772330793286,0.0,0.0,0.0,16.02334934931919,58.7104805190399,11.328877403555996,13.356084095329816,2728.6383640944473,143.40003863497415,-7.469973422264876,2864.5684293071563,-4.6093431590223135e-16,-2.765981426812558e-15,-1.1912485812596666e-16,578.9714769297437,3,96.18648434770743,129.38674217714924,0.0,804.5447034546004,675.1579612774511,0.16090894069092007,1.0,V2,0.00010540627106346914,0.101325,0.5699071884155273
"kin recycle (1,10,10) n=1 V2 phi=0.1",kinetic,kinetic,1.0,10.0,10.0,0.1,0.05,0.95,0.35,True,306,direct,3458.041704106414,1.1557783970620665,0.8730911863828241,29430.25084993785,20748.6731652914,0.2333015796316663,10.7317955223823,17.721361588214904,0.0009560685676849312,36.263439851068625,0.0,36.263439851068625,0.340723896300559,0.02972457380792072,3.4965143196980404,11.13567962836182,40.801775436231395,12.8688125552876,15.27630679019039,3153.701274615141,306.70425681253505,-44.90704838215016,3415.4984830455255,-4.642875185588854e-08,5.5126009836374284e-11,-1.0931038013558237e-07,669.1627255505168,3,96.18648434770743,129.38674217714924,0.0,894.7359520753735,765.3492098982242,0.1789471904150747,1.0,V2,0.00010540627106346914,0.101325,129.04696106910706
"kin once-through (1,10,10) n=1 V2 phi=1",kinetic,kinetic,1.0,10.0,10.0,1.0,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.8050584103605933,343.4198331175012,1.7986382737916529,0.0029440967977252264,31.375772330793286,3.516035119305316e-21,31.375772330793286,3.516035119305316e-21,3.067370576287365e-22,2.5152830245177848e-21,16.0233493493192,58.71048051903995,9.415171221212828,20.013949401289125,2728.6383640944473,-578.6433203368272,-4.417423796203754,2145.577619961416,-2.3046715795111567e-16,-1.0058114279318392e-15,-2.0251225881414334e-15,578.9714769297437,3,96.18648434770743,129.38674217714924,0.0,804.5447034546004,675.1579612774511,0.16090894069092007,1.0,V2,0.00010540627106346914,0.101325,0.5584588050842285
"kin recycle (1,10,10) n=1 V2 phi=1",kinetic,kinetic,1.0,10.0,10.0,1.0,0.05,0.95,0.35,True,401,direct,3597.258018100047,1.2023085496745636,0.873091186382824,27319.21616130237,18376.873625913737,0.25099439619903197,134.02992256789605,16.338127847783426,0.0010150440529871352,37.72335932595546,0.0,37.72335932595546,1.8006433529780268,0.15708718064236749,4.540903965347411,9.675760507617861,35.45254718006448,12.5998297425099,17.666499983648308,3280.665234120773,-9.254434390821103,-41.396773662408904,3230.014026067543,-3.895724489815469e-08,5.164519822773056e-10,-9.279899138001232e-08,696.1023567303415,3,96.18648434770743,129.38674217714924,0.0,921.6755832551981,792.2888410780489,0.18433511665103963,1.0,V2,0.00010540627106346914,0.101325,152.50487995147705
"kin once-through (1,10,10) n=1.5 V1 phi=0",kinetic,kinetic,1.0,10.0,10.0,0.0,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.8055478031963215,0.0,33.34388803803449,0.03493883734918213,31.375772330793286,5.625656190888506e-20,31.375772330793286,5.625656190888506e-20,4.907792922059784e-21,4.0244528392284557e-20,16.02334934931925,58.71048051904013,11.297983167348754,14.411891129189096,2728.6383640944473,313.82318256439,-83.83657086472793,2958.6249757941096,8.066350528289049e-16,8.800849994403594e-16,1.6677480137635334e-15,578.9714769297437,3,96.18648434770743,129.38674217714924,0.0,804.5447034546004,675.1579612774511,0.16090894069092007,1.5,V1,0.0003311373305745366,1.0,0.5700302124023438
"kin recycle (1,10,10) n=1.5 V1 phi=0",kinetic,kinetic,1.0,10.0,10.0,0.0,0.05,0.95,0.35,True,280,direct,3647.8893252909306,1.2192310092842165,0.8730911863828241,24896.621755107193,15859.442164464283,0.2926144854993128,-5.684341886080802e-14,194.7070393749393,0.017580246656087595,38.254314565944924,0.6825634279765205,38.93687799392144,3.0141620272889798,0.26295391260186246,5.409024675720523,8.462242091969419,31.006145385520117,12.352975818931524,19.857219914416355,3326.8405066265077,347.5023050920529,-582.2045732534734,3092.138238465087,-3.3633991229363415e-08,2.0898925866567643e-10,-8.084346980641993e-08,705.8999781638254,3,96.18648434770743,129.38674217714924,0.0,931.473204688682,802.0864625115328,0.1862946409377364,1.5,V1,0.0003311373305745366,1.0,121.31261014938354
"kin once-through (1,10,10) n=1.5 V1 phi=0.1",kinetic,kinetic,1.0,10.0,10.0,0.1,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.8045467053413335,60.430142687420584,30.13164903151676,0.033707317803503334,31.375772330793286,0.0,31.375772330793286,0.0,0.0,0.0,16.023349349319222,58.71048051904002,10.954021538035185,15.424264349134424,2728.6383640944473,156.42315210406974,-75.73068661329906,2809.330829585218,2.3046715795111567e-16,-1.5087171418977588e-15,1.6677480137635334e-15,578.9714769297437,3,96.18648434770743,129.38674217714924,0.0,804.5447034546004,675.1579612774511,0.16090894069092007,1.5,V1,0.0003311373305745366,1.0,0.5874967575073242
"kin recycle (1,10,10) n=1.5 V1 phi=0.1",kinetic,kinetic,1.0,10.0,10.0,0.1,0.05,0.95,0.35,True,296,direct,3698.5554096744695,1.2361650924459897,0.8730911863828245,24336.99535970813,15204.91357295789,0.2945957408002302,39.80546704556076,199.2710152488478,0.017992174294319985,38.785634503859406,0.5522885205922299,39.337923024451634,3.4152070543315256,0.29794087018264237,5.695922196118434,8.061197122315006,29.536693377400805,12.283087625635417,20.477128570416387,3373.0474956024864,244.42860098171093,-576.8275655716225,3040.648531012575,-3.23496681658186e-08,3.5094357446183715e-10,-7.799940968173285e-08,715.7043293024477,3,96.18648434770743,129.38674217714924,0.0,941.2775558273044,811.8908136501551,0.18825551116546088,1.5,V1,0.0003311373305745366,1.0,123.56538796424866
